crop_code;unit_cd;mean_cf_nat;mean_cf1;mean_cf2;mean_cf3;mean_cf4;mean_cf6;mean_cf7;mean_cf12;mean_cf99;note
19BIS;12;0.219999998807907;0.219999998807907;0.219999998807907;0.219999998807907;0.219999998807907;0.219999998807907;0.219999998807907;0.219999998807907;0.219999998807907;
19BIS;20;0.0799999982118607;0.0799999982118607;0.0799999982118607;0.0799999982118607;0.0799999982118607;0.0799999982118607;0.0799999982118607;0.0799999982118607;0.0799999982118607;
19BIS;104;1.0349999666214;0.990000009536743;1.0349999666214;1.04999995231628;1.08000004291534;1.0349999666214;1.02400004863739;1.0349999666214;1.01999998092651;
19BIS;109;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;
19BIS;115;66.9140014648438;65.9290008544922;63;60.5629997253418;75.3570022583008;66.9140014648438;69.5;66.9140014648438;66.9140014648438;
19BIS;117;0.388000011444092;0.372999995946884;0.324999988079071;0.314999997615814;0.388000011444092;0.388000011444092;0.405000001192093;0.388000011444092;0.388000011444092;
19BIS;119;66.9140014648438;65.9290008544922;63;60.5629997253418;75.3570022583008;66.9140014648438;69.5;66.9140014648438;66.9140014648438;
19BIS;121;1.46399998664856;1.46399998664856;1.46399998664856;1.53999996185303;1.46399998664856;1.46399998664856;1.432000041008;1.46399998664856;1.46399998664856;
19BIS;122;0.0640000030398369;0.0900000035762787;0.0900000035762787;0.0900000035762787;0.0900000035762787;0.0900000035762787;0.0900000035762787;0.0900000035762787;0.0900000035762787;Used jog ratio for teff to estimate container CF
19BIS;123;0.781000018119812;0.75;0.781000018119812;0.739000022411346;0.748000025749207;0.781000018119812;0.797999978065491;0.781000018119812;0.920000016689301;
20;1;1;1;1;1;1;1;1;1;1;
23;1;1;1;1;1;1;1;1;1;1;
23;2;100;100;100;100;100;100;100;100;100;
23;7;6.40299987792969;6.40299987792969;6.40299987792969;6.40299987792969;6.40299987792969;6.40299987792969;6.40299987792969;6.40299987792969;6.40299987792969;
23;9;36.7550010681152;36;36;36;36;36;36;36;36;
